NCT Number,Study Title,Study URL,Brief Summary
NCT06615778,Effectiveness of Motivated Social Motional Learning (MSEL) Program on Bullying Among Hong Kong Primary School Students,https://clinicaltrials.gov/study/NCT06615778,"The present study aimed to test the effectiveness of motivated social-emotional Learning (MSEL) and traditional curriculum-based social-emotional learning (CSEL) in reducing bullying perpetration and victimization among Hong Kong primary school students. The main research questions the cRCT aims to answer are:

1. Does MSEL reduce bullying perpetration and victimization among Hong Kong primary school students?
2. Is MSEL more effective than the traditional CSEL in reducing bullying perpetration and victimization among Hong Kong primary school students?

In according with the research questions, the following hypotheses will be tested:

H1: MSEL can significantly change primary outcomes and secondary outcomes at posttest and 3-month follow-up.

H2: CSEL can significantly change primary outcomes and secondary outcomes at posttest and 3-month follow-up.

H3: Compared with the intervention group of CSEL, the MSEL group will experience greater changes in primary and secondary outcomes.

Classroom is the randomization unit and the participating classrooms are randomly assigned to each of the three arms-the waitlist control group (WCL, no intervention delivered during the implementation period), the CSEL group (only receiving curriculum-based SEL training), and the MSEL group (participating in CSEL and Class Ambassador). The multi-method (i.e., questionnaires and face-to-face interviews) approach will be used to assess primary outcomes (i.e., school bullying victimization and perpetration, cyberbullying perpetration, defending behaviors) and secondary outcomes (i.e., social-emotional competence, prosocial behaviors, school safety and liking, psychological well-being). Also, the data collection will be conducted in the 2024-2025 academic term at three different time points: the baseline (T0, prior to the beginning of intervention, Sept. 2024), the posttest (T1, the completion of intervention, Dec. 2024) and the follow-up (T2, three months after the completion of intervention, April 2025). The analysis and report of the data start in the fall of 2025."
NCT06615726,Regular Physical Activity in Patients with Symptomatic Intracranial Arterial Stenosis,https://clinicaltrials.gov/study/NCT06615726,The objective of this study is to evaluate the effectiveness and safety of regular physical activity in preventing ischemic stroke events in patients with symptomatic intracranial arterial stenosis.
NCT06615661,A Real-World Evidence Study of Goniotomy with the C-REX™ Instrument in Patients with Primary Open Angle Glaucoma,https://clinicaltrials.gov/study/NCT06615661,"This study enrolls adults with primary open angle glaucoma (POAG) who underwent goniotomy intraocular pressure (IOP)-lowering surgery with the C-Rex Instrument. Patients are consented prior to surgery and followed for 12 months postoperatively. Data regarding IOP, use of glaucoma medications, and any device-related complications are collected during the study time period."
NCT06615622,"Our Study Aims to Determine If Nerve Alterations in Acute GBS and CIDP Detectable by Ultrasound Match Electrodiagnostic Findings and If This Method Aids Early Diagnosis, Predict Their Outcomes and Differentiate Between Axonal and Demyelinating Subtypes.",https://clinicaltrials.gov/study/NCT06615622,"Neuromuscular ultrasound (NMUS) is emerging as a valuable non-invasive diagnostic tool. In GBS, NMUS can detect proximal nerve enlargement early, before neurophysiological changes. Persistent nerve enlargement can be observed up to 15 years, though its correlation with disability varies. Research is needed to clarify NMUS findings in GBS and CIDP over time. Early detection of nerve root enlargement via NMUS could facilitate earlier diagnosis and intervention, improving patient outcomes and understanding of these conditions\&amp;#39; pathophysiology.

This study aims to determine if nerve alterations in acute GBS and CIDP detectable by ultrasound match electrodiagnostic findings and if this method aids early diagnosis. The investigators will perform serial nerve ultrasounds and NCS to investigate nerve morphology, predict outcomes, and differentiate between axonal and demyelinating subtypes."
NCT06615557,Fasedienol Nasal Spray for the Acute Treatment of Anxiety in Adults With Social Anxiety Disorder (PALISADE-4),https://clinicaltrials.gov/study/NCT06615557,"This U.S. Phase 3 clinical trial is designed to evaluate the efficacy, safety, and tolerability of the acute intranasal (i.n.) administration of Fasedienol Nasal Spray (fasedienol) (3.2 µg) to relieve symptoms of acute anxiety in adult subjects ages 18 through 65 with Social Anxiety Disorder induced by a public speaking challenge (PSC) in a clinical setting. In addition, safety and tolerability of i.n. administration of 3.2 µg of fasedienol, as-needed, up to 6 times per day for up to 12 months, will be assessed in those subjects who complete PALISADE-4 and choose to enter the distinct open-label extension phase of the study."
NCT06615518,Comparison of Clinical Effectiveness of Full Endoscopic Lumbar Discectomy (FELD) and Microdiscectomy (MD) in Patients with Lumbar Disc Herniation,https://clinicaltrials.gov/study/NCT06615518,"The goal of this clinical trial is to compare the clinical effectiveness of Full Endoscopic Lumbar Discectomy (FELD) and Microdiscectomy (MD) in patients aged 18-85 with single-level lumbar disc herniation who have not undergone prior lumbar surgery. This study also aims to perform a radiological analysis of MRI scans before and after treatment to optimize patient selection and surgical strategies. The main questions it aims to answer are:

* Does FELD provide superior early postoperative pain relief (measured by VAS) compared to MD?
* Does FELD offer better functional recovery (measured by COMI and ODI scores) postoperatively compared to MD?
* Can radiological analysis of pre- and post-operative MRI images help optimize patient qualification and guide surgical strategies?

Researchers will compare patients undergoing FELD to those undergoing MD to see if endoscopic techniques result in faster recovery and lower early postoperative pain while maintaining similar long-term outcomes. The study will also analyze how MRI findings correlate with clinical outcomes to refine operative decision-making.

Participants will:

* Undergo either FELD or MD surgery
* Complete VAS, COMI, and ODI questionnaires at pre-specified follow-up intervals (1, 3, 6, and 12 months post-surgery)
* Have MRI scans 24 hours before surgery, 24 hours after surgery, and at each follow-up to assess disc recurrence, residual pathology, and to optimize surgical strategies."
NCT06615505,"ASCEND: a Clinical Trial to Evaluate the Safety and Effectiveness of VIA Disc NP, a Supplement for Degenerated Intervertebral Discs",https://clinicaltrials.gov/study/NCT06615505,"VIA Disc NP is an off-the-shelf minimally processed human nucleus pulposus tissue allograft intended to supplement degenerated intervertebral discs.

The study is a randomized, double-blind, sham-controlled, multi-center study in participants with symptomatic lumbar intervertebral disc degeneration (\> 6 months) and unresponsive to conservative therapy for at least 3 months. Participants will be randomized on a 1:1 basis to receive either a single VIA Disc NP intradiscal injection at 1 or 2 levels or a sham procedure at 1 or 2 levels."
NCT06615466,Super-Hypofractionated Partial Breast Irradiation,https://clinicaltrials.gov/study/NCT06615466,"Partial breast irradiation is currently a hot topic in clinical research, but the appropriate population and appropriate irradiation The technology and dose fractionation mode are still inconclusive. Foreign studies have mostly selected patients with low risk of recurrence. Breast-conserving surgeries for early-stage breast cancer are increasing year by year in China. It is necessary to conduct prospective clinical studies to explore the Chinese population suitable for partial breast irradiation and the appropriate radiotherapy dose fractionation model. A preliminary study in our center has compared the safety and efficacy of a 2-week schedule of partial breast irradiation (40Gy/10f) and a 3-week schedule of whole-breast radiotherapy (43.5Gy/15f) in patients with early-stage low-risk breast cancer after breast-conserving surgery. , preliminary results show that the 2-week partial breast irradiation regimen is safe and effective. This study plans to continue to select low-risk breast-conserving patients, use extracorporeal intensity-modulated radiotherapy technology, refer to the radiotherapy dose fractionation model of the FAST-Forward study, and give partial breast irradiation 5.2 Gy/f/d, a total of 5 times, with a total dose of 26Gy, to further shorten the time The radiotherapy time is 1 week, and the acute and late adverse reactions of radiotherapy and the local control of the tumor are prospectively observed. Provide evidence for conducting a national multi-center phase III clinical randomized study."
NCT06615453,Impact of Tixel Treatment on Symptoms and Signs in Patients with Dry Eye Disease,https://clinicaltrials.gov/study/NCT06615453,This study will examine how a standard Tixel treatment versus a sham treatment for eye wrinkles affects the symptoms and signs of Dry Eye Disease.
NCT06615388,Low Energy Availability and Cardiovascular Disease,https://clinicaltrials.gov/study/NCT06615388,"Low energy availability (LEA) signifies a condition where the body lacks sufficient energy to support essential physiological functions crucial for maintaining optimal health (1). This energy insufficiency can be exacerbated by the demands of sports and exercise, resulting in negative impacts on various physiological, psychological, and sports performance (11, 8, 2). While LEA is commonly associated with cardiovascular abnormalities, such as early atherosclerosis, endothelial dysfunction, and lower blood pressure, the existing body of research faces limitations, including small sample sizes and primarily exploratory approaches (2). Additionally, despite a growing body of evidence suggesting a strong link between DNA methylation (an epigenetic modification influencing gene expression by tagging specific parts of the DNA code) and cardiovascular disease (9, 6), there has been no prior investigation exploring the interplay between DNA methylation, cardiovascular disease, and LEA. To better understand LEA and its effects on cardiovascular health, it is imperative to address these limitations through further research. Utilising more comprehensive markers of cardiovascular disease and expanding the scope of investigations will contribute to a great understanding of LEA and its implications on cardiovascular health (10)."
NCT06615271,Pressure Injuries in the Operating Room and Their Perioperative Incidence in Patients Undergoing Neurosurgery.,https://clinicaltrials.gov/study/NCT06615271,"This research project is a descriptive, longitudinal prospective observational study in the HUMV neurosurgery operating rooms. The patients included will be adults 18 years old or older, who will be scheduled for surgery by the Neurosurgery service. Those who meet the selection criteria determined for this study will be chosen consecutively and will be followed from the immediate preoperative moment until 72 hours after the end of the surgery. Data collection shall be carried out by direct observation and immersion in clinical records of patients who have signed the informed consent. The study will be carried out in 4 phases: immediate preoperative, intraoperative, immediate postoperative and late postoperative, recording the data using various measuring instruments, and a record sheet. Finally, the cumulative incidence of LPPs developed in the perioperative environment will be calculated and a statistical analysis will be performed."
NCT06615258,"The Effect of Breathing-based Pelvic Floor Muscle Training on Menstrual Symptoms, Pain and Quality of Life",https://clinicaltrials.gov/study/NCT06615258,"Primary dysmenorrheic (PD) pain usually begins during adolescence, at menarche or shortly after (6-24 months), and has a clear and predictable temporal pattern. The pain typically radiates to the back and thighs and lasts for 8-72 hours. The pain is most severe on the first and/or second day of menstrual bleeding. Additionally, systemic symptoms such as nausea, vomiting, diarrhea, fatigue, and insomnia often accompany the pain. In secondary dysmenorrhea, it can result from a range of identifiable pathological conditions, including endometriosis, adenomyosis, fibroids, and pelvic inflammatory disease. Other gynecological symptoms such as intermenstrual bleeding and menorrhagia may also accompany it, depending on the underlying condition. Empirical treatment approaches have been reported as appropriate for patients with primary dysmenorrhea based on symptoms and physical examination results. Recent studies have indicated that during diaphragmatic breathing, all the muscles that make up the thoracic and abdominal walls should expand in a cylindrical manner in all directions through synchronized eccentric activity. Thus, a more effective result will occur with the concentric contraction and 360-degree expansion of the diaphragm during inspiration, which raises intra-abdominal pressure .

Within the framework of this information, the aim of this study is to examine the effects of respiration-based physiotherapy approaches on menstrual symptoms, pain, and quality of life in women with PD."
NCT06615193,A Study of HDM2005 in Patients With Relapsed/Refractory B-cell Lymphoma and Advanced Solid Tumor,https://clinicaltrials.gov/study/NCT06615193,This is a first-in-human (FIH) study to evaluate the safety and preliminary efficacy of experimental drug HDM2005 in patients with relapsed/refractory B-cell lymphoma and advanced solid tumors.
NCT06615167,Confirmatory Clinical Trial for Verifying the Efficacy and Safety of 'ALZGUARD' as a Digital Dementia Diagnostic Aid-Tool for the Diagnosis of the Major Neurocognitive Disorders,https://clinicaltrials.gov/study/NCT06615167,"The goal of this clinical trial is to evalute the efficacy of ALZGUARD, a smartphone-based digital therapeutic(DTx), in comparison to diagnosis by medical doctors, as weel as to assess the safety of the application."
NCT06615141,Immersive v/s Non-immersive Virtual Reality in Enhancing Upper Limb Functions Among Individuals With Subacute Stage Hemiplegia,https://clinicaltrials.gov/study/NCT06615141,The goal of this randomized controlled trial is to compare the effectiveness of immersive virtual reality combined with conventional therapy to the effectiveness of non-immersive virtual reality combined with conventional therapy in enhancing upper limb function in subacute hemiplegic stroke patients.
NCT06614998,"Establishment of an Early Warning Screening System for Hemophagocytic Lymphohistiocytosis a Multi-center, Prospective Study",https://clinicaltrials.gov/study/NCT06614998,"Our three-step screening system uses commonly used clinical and laboratory parameters to effectively identify patients who may be at high risk of HLH, conduct etiology screening early for patients who meet the diagnostic criteria for HLH, and guide standardized treatment. Therefore, this study proposes to establish a highly accurate and convenient hemophagocytic early warning system to improve the early diagnosis of patients with hemophagocytic syndrome and identify suspected HLH patients early. Etiology screening is performed on patients who meet the diagnostic criteria for HLH, high-risk predisposing factors are identified, and precise treatment is guided, thereby improving the success rate of patient treatment and improving the quality of life."
NCT06614907,A PhaseⅠ Comparative Study to Evaluate the Pharmacokinetics of QL2108 to Dupixent®,https://clinicaltrials.gov/study/NCT06614907,"It is a randomized, double-blinded, parallel, single-dose, PhaseⅠcomparative study to evaluate the pharmacokinetics and safety of QL2108 to Dupixent® in healthy Chinese adult subjects. A total of 198 healthy subjects are planned to be included and randomized at a ratio of 1:1 to receive single 300mg/2.0ml QL2108 injection or Dupixent®."
NCT06614881,Dexmedetomidine Dosage for Postoperative Delirium and Cognitive Function in Elderly TKA Patients,https://clinicaltrials.gov/study/NCT06614881,"This study aims to evaluate the efficacy of dexmedetomidine in reducing the incidence of postoperative delirium and cognitive dysfunction in elderly patients undergoing total knee arthroplasty (TKA). The study will compare the outcomes of patients receiving dexmedetomidine to those receiving a standard anesthetic or sedative, focusing on factors such as patient characteristics, surgical duration, and postoperative care. The research will explore the potential neuroprotective effects of dexmedetomidine and its ability to mitigate the risks associated with anesthesia and surgery in vulnerable elderly populations."
NCT06614686,U87 CAR-T in Patients With Advanced Head and Neck Tumors,https://clinicaltrials.gov/study/NCT06614686,"This is a single-arm, open-label clinical study to evaluate the safety, tolerability, and efficacy of U87 injection solution in patients with advanced malignant head and neck tumors."
NCT06614647,RESPONSE: Colorectal Cancer Survivors' Follow-up Care - Now Digital and Need-based,https://clinicaltrials.gov/study/NCT06614647,"Over the last decades, the 3-year recurrence rates for patients with stage I and II colorectal cancer have decreased to just 5% and 12%. The follow-up program offered to stage I and low-risk stage II patients has not changed accordingly and is still focused solely on recurrence detection. Moreover, it is a one-size-fits-all program, i.e. most of the follow-up resources are spent on non-recurrence patients who do not benefit.

Up to 50% of cancer survivors suffer from reduced quality of life related to fear of cancer recurrence, treatment-related psychological distress, and/or severe late adverse effects of a biopsychosocial and/or organ-specific origin. Today many of these symptoms can be treated effectively. However, no systematic program aimed at monitoring and addressing the symptoms has been implemented yet.

The current project is testing a newly developed, digitally managed, patient-centered follow-up program that focuses on individual patient needs, including fear of cancer recurrence, psychological well-being, management of late adverse effects, and recurrence surveillance. This new program will be compared to the current standard of care in a national network of 11 colorectal cancer surgical centers in four of five Danish regions.

Patients in the intervention group will receive the following:

1. Risk-stratified circulating tumor DNA (ctDNA) guided recurrence surveillance.
2. Late adverse effects monitoring with electronic patient-reported outcome measures, which are validated questionnaires that can identify and qualify late adverse effects.
3. Systematic treatment for organ-specific and/or biopsychosocial late adverse effects.
4. A digital care guide, to support the patient trajectory through the follow-up program, as a smartphone app.

Patients in the standard group will receive standard-of-care follow-up.

The primary study endpoint will be the difference in health-related quality of life between the intervention and standard group. Secondary outcomes include e.g., comparison of health-related costs, differences in fear of cancer recurrence, recurrence-free survival, and patient satisfaction.

The investigators expect the new follow-up program to be better than the standard-of-care program in terms of the primary endpoint - quality of life - without compromising recurrence detection, and without increasing costs."
NCT06614595,Transfusion in Lower Risk MDS Patients: Predictors of Adequacy of Transfusion and Quality of Life in Lower Risk MDS,https://clinicaltrials.gov/study/NCT06614595,"Observational study to evaluate changes in quality of life (QoL) in patients diagnosed with low risk MDS who are red blood cell (abc) transfusion dependent.

Changes in QoL will be correlated with patient cardiorespiratory function. Cardiac biomarkers and plasma cytokines will also be evaluated."
NCT06614478,"Frailty, Hip Fractures and Inflammatory Biomarkers",https://clinicaltrials.gov/study/NCT06614478,We ought to investigate if hip fracture patients suffering from frailty have higher inflammatory burden according to simple inflammatory biomarkers.
NCT06614452,Endoscopic Ultrasound-guided Fine-needle Biopsy for Tissue Sampling of Biliary Strictures: a Multicenter Prospective Study,https://clinicaltrials.gov/study/NCT06614452,"After the disappointing results of first-generation reverse bevel fine-needle biopsy (FNB) needles, newer 'third generation' endoscopic ultrasound (EUS) needles were developed, known as the ""end-cutting"" needles. These needle types have shown excellent diagnostic accuracy (\&gt;90%) in pancreatic masses and several other lesions, even without rapid on site evaluation (ROSE) and are not associated with increased adverse event incidence . The main design of end-cutting FNB needles are the Franseen type, which has three symmetrically distributed needle points and cutting edges, and the Fork-tip type which has 2 protruding asymmetrical sharp points and six distal cutting edges; however, other end-cutting needles are currently available such as the three-prong asymmetric tip needle and the Menghini tip needle.

Given the significant increase in diagnostic accuracy and sensitivity observed in other abdominal lesions, these needles are expected to improve the diagnostic outcomes of EUS-FNB of ""pure"" biliary strictures although clinical data are still lacking.

The aim of this study is to ascertain the impact of end-cutting FNB needles in the diagnostic algorithm of biliary strictures in absence of a clear pancreatic or abdominal mass.

This is a multicenter international observational prospective study. Consecutive patients diagnosed with biliary strictures in absence of a pancreatic or abdominal mass will be assessed for eligibility.

Patients with jaundice requiring decompression, will undergo endoscopic retrograde cholangiopancreatography (ERCP) with tissue sampling (brushing and/or biopsy) and biliary drainage, preferably in the same session immediately after EUS-FNB.

Endoscopic ultrasound will be performed using a curvilinear array echoendoscope. FNB with 22G or 25G end-cutting needles will be performed. The size of the needles will be based on the personal choice of the endoscopist. Likewise, the sampling technique, whether using the ""slow-pull"", the ""dry suction"", or the ""wet suction"", will be based on the physician's choice. Three passes will be performed as per current guidelines. Specimens will be collected in 3 vials to allow for analysis according to needle pass; one for the first pass, one for the second pass, and one for the third and any eventual subsequent passes.

The ROSE will not be available in this study. Primary outcome will be diagnostic sensitivity of EUS-FNB and 45 patients will be prospectically enrolled."
NCT06614309,Non-invasive Treatment for Long COVID (Post COVID-19 Condition) Brain Fog,https://clinicaltrials.gov/study/NCT06614309,This study aims to assess the effects of both acute and chronic exposures to hypoxia and hypercapnia in patients with Long COVID syndrome.
NCT06614179,A Pan-cancer Screening and Diagnosis Model Based on Abdominal CT Was Established,https://clinicaltrials.gov/study/NCT06614179,Abdominal noncontrast scan and contrast-enhanced CT were used to establish a screening and diagnostic model for abdominal tumors
NCT06614166,Food Trial to Evaluate the Kinetics of the Medical Foods SBD111 and SBD121 Persistence in Healthy Adults,https://clinicaltrials.gov/study/NCT06614166,"This study is a randomized, open-label, trial in healthy volunteers. Trial participants will be given a medical food product (combination of probiotics and prebiotics) called SBD111 or SBD121 for seven days and microbial abundance in feces will be measured during that time and for four weeks following administration."
NCT06614114,Albumin Bilirubin Index as a Predictor of Outcome of Variceal Bleeding,https://clinicaltrials.gov/study/NCT06614114,Albumin bilirubin index as a predictor of outcome of variceal bleeding
NCT06614088,Serum Calprotectin in Surgical Septic Patients,https://clinicaltrials.gov/study/NCT06614088,"To early evaluate the serum levels of calprotectin in patients suffering from intra-abdominal sepsis requiring a surgical treatment. The research project aims to investigate the role of serum calprotectin in the diagnosis of sepsis and to establish whether its level significantly correlates with different degree of disease severity and with short and long-term outcomes. If these associations were confirmed, serum calprotectin would represent an easily and rapidly detectable biomarker able to predict the severity of sepsis."
NCT06614049,AdLip: Human Coach-supported Digital/AI Personal Health Assistant to Improve Adherence to Lipid-Lowering Medication,https://clinicaltrials.gov/study/NCT06614049,"Investigators hypothesize that the use of a human coach-supported digital/AI personal health assistant (app) will improve adherence to cholesterol-lowering medications (statins with or without ezetimibe) among patients with hyperlipidaemia and suboptimal LDL-C control, when compared to standard care."
NCT06614010,Effect of Different Administration Routes of Dexmedetomidine Combined with Ultrasound-Guided Fascia Iliaca Block on Emergence Agitation After Hip Replacement Surgery,https://clinicaltrials.gov/study/NCT06614010,To examine the impact of various administration routes of dexmedetomidine in conjunction with ultrasound-guided fascia iliaca block (FIB) on emergence agitation (EA) during the postoperative recovery period after hip replacement surgery.
NCT06613971,Dynamic Light Scattering Ocular Measurement in the Detection of Dementia,https://clinicaltrials.gov/study/NCT06613971,This is a human clinical study making a noninvasive measurement from a patient's eye to determine whether there is a quantitative difference in measurements between patients with and without the diagnosis of dementia.
NCT06613945,ERCP With and Without EUS Guided HGS for Bilateral Biliary Decompression in Malignant Hilar Biliary Obstruction,https://clinicaltrials.gov/study/NCT06613945,"A prospective randomized clinical trial to evaluate efficacy and safety of combined EUS-HGS and ERCP compared to ERCP for bilateral biliary decompression in advanced malignant hilar biliary obstruction. The primary outcome will be technical success, clinical success, procedural duration, and re-interventions. Secondary outcomes will be the rate of adverse events. patients will be followed up at 1 and 3 month intervals"
NCT06613932,"Assessment of L-PRF, Nanohydroxyapatite Combined With L-PRF Using Pulpotomy in Mature Mandibular First Molars",https://clinicaltrials.gov/study/NCT06613932,"Clinical and Radiographic Assessment of L-PRF, Nanohydroxyapatite material combined with L-PRF scaffold in Vital pulp Therapy. Treatments in Mandibular First Molars with Closed Apices, Randomized Controlled Trial."
NCT06613867,Wakobo-ti-Kodro: Improving Identification of Pregnancy At Risk of Obstetric Complications At Community Level,https://clinicaltrials.gov/study/NCT06613867,"This project aims to improve maternal health indicators in a national context where the maternal mortality rate is one of the highest in the world. Our hypothesis is that an intervention combining (i) the training of traditional birth attendant in the identification and monitoring of high-risk pregnancies, (ii) their integration into the health system and (iii) the use of a digital decision-support application installed on a smartphone and adapted to their profile, could strengthen the identification and monitoring of high-risk pregnancies, increase attendance at facilities and thus the rate of assisted deliveries in health facilities, in Bimbo district around the capital Bangui in the Central African republic."
NCT06613828,Efficacy of Five Strategies To Improve Stroke Awareness in the Spanish-Speaking Population,https://clinicaltrials.gov/study/NCT06613828,"The goal of this experimental study is to evaluate the efficacy of five educational strategies for recognizing early symptoms of cerebrovascular disease (CVD) in the general adult population. The main questions it aims to answer are:

- How effective are the strategies RAPIDO, CORRE, DALE, CAMALEON, and ICTUS 911 in improving the recognition of early CVD symptoms?

Researchers will compare these strategies to determine which one leads to the highest increase in symptom recognition. Participants will receive a brief educational session on one of the five strategies and will:

* Complete a pre- and post-intervention survey (Stroke Awareness Questionnaire, SAQ).
* Receive short training on CVD symptoms and the urgency of contacting emergency services.

The primary outcome is the improvement in SAQ scores, and the secondary outcome is the proportion of participants achieving adequate knowledge of CVD symptoms."
NCT06613763,A Study of RAY1225 in Participants With Impaired Kidney Function,https://clinicaltrials.gov/study/NCT06613763,The purpose of this study is to assess how fast RAY1225 gets into the blood stream and how long it takes the body to remove it in participants with impaired kidney function compared to healthy participants.
NCT06613737,"Dose, Safety, and Pathogenicity of a New Influenza a H3N2 Challenge Strain",https://clinicaltrials.gov/study/NCT06613737,"An Exploratory Study to Establish the Dose, Safety and Pathogenicity of a New Influenza A H3N2 Challenge Strain in Healthy Participants 18 to 55 Years of Age

In Part A, up to 40 participants will be randomly allocated to one of two groups to be given one of two virus doses (Virus Dose 1 or Virus Dose 2).

Based on the outcome of Part A, participants in Part B, may be given Virus Dose 1, Virus Dose 2, or another virus dose (e.g., Virus Dose 3)"
NCT06613724,Magnetic Duodeno-Ileal Chile Study,https://clinicaltrials.gov/study/NCT06613724,"The objective of the MagDI Chile Study is to evaluate the feasibility / performance, safety, and initial efficacy of the MagDI System in eligible participants who are indicated for a duodeno-ileal (small bowel) side-to-side anastomosis procedure for partial intestinal diversion (e.g., one example of a small bowel clinical procedure requiring a side-to-side anastomosis)."
NCT06613711,MagDI Italy Study,https://clinicaltrials.gov/study/NCT06613711,"The objective of the MagDI Italy Study is to evaluate the feasibility / performance, safety, and initial efficacy of the MagDI System in eligible participants who are indicated for a duodeno-ileal (small bowel) side-to-side anastomosis procedure for partial intestinal diversion (e.g., one example of a small bowel clinical procedure requiring a side-to-side anastomosis)."
NCT06613620,Additional Effects of Surface Electromyographic Biofeedback on Post Facilitation Stretching and Strengthening in Lower Crossed Syndrome;A Randomized Control Trial,https://clinicaltrials.gov/study/NCT06613620,"This study is a randomised control trial and the purpose of this study is to determine the additional effects of surface electromyographic biofeedback on post facilitation stretching and strengthening in lower crossed syndrome.

."
NCT06613607,"Effects of Core Strengthening on Pelvic Tilt, Dynamic Balance and Agility in Lower Cross Syndrome: a Quasi-experimental Study",https://clinicaltrials.gov/study/NCT06613607,"This study is a quasi experimental study and the purpose of this study is to determine the effects of core strengthening on pelvic tilt, dynamic balance and agilty in lower cross syndrome."
NCT06613594,Effects of Kaltenborn Translatoric Glides As Compared to Traction Mobilization in the Management of Frozen Shoulder,https://clinicaltrials.gov/study/NCT06613594,"Frozen shoulder is a common musculoskeletal condition. Painful gradual loss of both active and passive gleno-humeral motion resulting from progressive fibrosis and ultimate contracture of the gleno-humeral joint capsule.Range of motions and capsular pattern affected in frozen shoulder. Physiotherapists have a wide range of options in managing frozen shoulder including Electrotherapeutic modalities, kaltenborn mobilization, Maitland's mobilization,Mulligan's mobilization and Manipulation. So far studies have shown the efficacy of different treatments in combination or in isolation.some studies on Kaltenborn mobilization , but no obseved comparative effects of Kaltenborn mobilization i.e translatoric glides and traction mobilzation in patients with frozen shoulder.In clinically both techniques of kaltenborn are used but there is no evidence regarding which one is more effective. .If found effective,this study can help to use best clinical treatment in the managemnent of frozen shoulder."
NCT06613581,Patient-led Follow-up from Home After Surgery for Colorectal Carcinoma,https://clinicaltrials.gov/study/NCT06613581,"The primary goal of the patient-led follow-up from home, is the improvement of quality of life and the reduction of stress in patients, while obtaining a more complete picture of their health status.

A series of assessments are performed in the home setting:

* Blood withdrawal for CEA determination
* Quality of life questionnaires to assess both mental and physical symptoms
* Vital parameters using a Smart Sensor"
NCT06613555,Retinal Microvascularization in OCT-angiography and Systemic Diseases,https://clinicaltrials.gov/study/NCT06613555,"Systemic diseases are inflammatory, chronic illnesses affecting different organs and altering their function. At present, there are few non-invasive methods for predicting their onset and progression.

Some chronic diseases can be anticipated earlier thanks to predictive indicators. These indicators could help doctors decide which treatment is best suited to each patient. In particular, the state of microcirculation in the eyes, specifically in the retina, is linked to the progression of certain diseases in the body. Unfortunately, assessing the health of the small blood vessels in the retina is complicated. Most current methods are imprecise, difficult to reproduce and require qualified specialists. However, the use of retinal microcirculation appears to be a promising approach to solving these problems.

In fact, the structure of retinal blood vessels can be observed easily, painlessly and without invasive procedures, thanks to fundus photographs or scans providing imaging slices known as optical coherence tomography-angiography (OCT-A).

The vascularization of the retina is very often presented as a window giving access to the peripheral vascularization (the vascularization of other organs distant from the eyes).

For example, we recently demonstrated a link between retinal vascularization and the risk of heart problems in patients with coronary artery disease.

The aim of this study is to gather original information on the evolution of retinal vascularization, using specific markers that may be associated with damage to distant organs.

By regularly monitoring these changes over time, the researchers hope to identify early changes that could indicate the development or evolution of these diseases.

The main aim of this study is to create a database of images obtained by OCT-Angiography in patients with systemic diseases and in healthy individuals. This will enable us to identify early changes in retinal vascularization that may be associated with these systemic pathologies.

With this information, we hope to improve early diagnosis and monitoring of diseases, which could have a positive impact on patients\&#39; health."
NCT06613503,Effectiveness of the AI-Supporter in Reducing Urinary Tract Infections,https://clinicaltrials.gov/study/NCT06613503,"The ""AI Supporter,"" an intelligent excretion management robot, leverages artificial intelligence-based vision recognition to autonomously detect and cleanse affected areas, followed by drying and changing the diaper, thereby reducing caregiver strain and enhancing care quality. This study aims to assess the efficacy of the ""AI Supporter"" in decreasing the incidence of urinary tract infections and incontinence-associated dermatitis among incontinent patients, in addition to exploring its cost-effectiveness.

Adopting an experimental (two groups) and longitudinal design, this research utilizes both convenience and random sampling strategies. The study anticipates recruiting 60 female subjects who have been confined to bed for more than three months with urinary and/or fecal incontinence. Participants will intermittently use the AI Supporter over a 14-day period. Measurement tools include routine urine analysis."
